TokenName           TokenValue                                       
-----------------------------------------------------------------------
KEYWORD             num                                              
KEYWORD             main                                             
PARENTHESIS         (                                                
PARENTHESIS         )                                                
PARENTHESIS         {                                                
COMMENT             ## entry point of program                        
COMMENT             ## Array definition:                             
KEYWORD             num                                              
IDENTIFIER          digits                                           
PARENTHESIS         [                                                
NUM_LITERAL         6                                                
PARENTHESIS         ]                                                
ASSIGNMENT_OPERATOR =                                                
PARENTHESIS         [                                                
NUM_LITERAL         1                                                
SEPARATOR           ,                                                
NUM_LITERAL         2                                                
SEPARATOR           ,                                                
NUM_LITERAL         3                                                
SEPARATOR           ,                                                
NUM_LITERAL         4                                                
SEPARATOR           ,                                                
NUM_LITERAL         5                                                
SEPARATOR           ,                                                
NUM_LITERAL         7                                                
PARENTHESIS         ]                                                
SEPARATOR           ;                                                
KEYWORD             num                                              
IDENTIFIER          sizeDigits                                       
ASSIGNMENT_OPERATOR =                                                
KEYWORD             length                                           
PARENTHESIS         (                                                
IDENTIFIER          digits                                           
PARENTHESIS         )                                                
SEPARATOR           ;                                                
KEYWORD             num                                              
IDENTIFIER          firstDigits                                      
ASSIGNMENT_OPERATOR =                                                
IDENTIFIER          digits                                           
PARENTHESIS         [                                                
NUM_LITERAL         0                                                
PARENTHESIS         ]                                                
SEPARATOR           ;                                                
IDENTIFIER          digits                                           
PARENTHESIS         [                                                
NUM_LITERAL         5                                                
PARENTHESIS         ]                                                
ASSIGNMENT_OPERATOR =                                                
NUM_LITERAL         6                                                
SEPARATOR           ;                                                
KEYWORD             show                                             
PARENTHESIS         (                                                
IDENTIFIER          digits                                           
PARENTHESIS         )                                                
SEPARATOR           ;                                                
COMMENT             ## —------------------------------------------ 
COMMENT             ## List:                                         
KEYWORD             list                                             
IDENTIFIER          names                                            
ASSIGNMENT_OPERATOR =                                                
PARENTHESIS         [                                                
TILDE               ~                                                
STRING_LITERAL      Shreya                                           
TILDE               ~                                                
SEPARATOR           ,                                                
TILDE               ~                                                
STRING_LITERAL      Darshi                                           
TILDE               ~                                                
SEPARATOR           ,                                                
TILDE               ~                                                
STRING_LITERAL      Animesh                                          
TILDE               ~                                                
PARENTHESIS         ]                                                
SEPARATOR           ;                                                
KEYWORD             num                                              
IDENTIFIER          len                                              
ASSIGNMENT_OPERATOR =                                                
KEYWORD             length                                           
PARENTHESIS         (                                                
IDENTIFIER          names                                            
PARENTHESIS         )                                                
SEPARATOR           ;                                                
KEYWORD             str                                              
IDENTIFIER          first                                            
ASSIGNMENT_OPERATOR =                                                
KEYWORD             head                                             
PARENTHESIS         (                                                
IDENTIFIER          names                                            
PARENTHESIS         )                                                
SEPARATOR           ;                                                
KEYWORD             list                                             
IDENTIFIER          last                                             
ASSIGNMENT_OPERATOR =                                                
KEYWORD             tail                                             
PARENTHESIS         (                                                
IDENTIFIER          names                                            
PARENTHESIS         )                                                
SEPARATOR           ;                                                
KEYWORD             flag                                             
IDENTIFIER          Empty                                            
ASSIGNMENT_OPERATOR =                                                
KEYWORD             isEmpty                                          
PARENTHESIS         (                                                
IDENTIFIER          last                                             
PARENTHESIS         )                                                
SEPARATOR           ;                                                
KEYWORD             list                                             
IDENTIFIER          newList                                          
ASSIGNMENT_OPERATOR =                                                
KEYWORD             append                                           
PARENTHESIS         (                                                
TILDE               ~                                                
STRING_LITERAL      saumya                                           
TILDE               ~                                                
SEPARATOR           ,                                                
IDENTIFIER          names                                            
PARENTHESIS         )                                                
SEPARATOR           ;                                                
KEYWORD             show                                             
PARENTHESIS         (                                                
IDENTIFIER          newList                                          
PARENTHESIS         )                                                
SEPARATOR           ;                                                
COMMENT             ## —-------------------------------------------
COMMENT             ##Tuples:                                        
KEYWORD             tup                                              
IDENTIFIER          memberOne                                        
ASSIGNMENT_OPERATOR =                                                
PARENTHESIS         [                                                
TILDE               ~                                                
STRING_LITERAL      Shreya                                           
TILDE               ~                                                
SEPARATOR           ,                                                
TILDE               ~                                                
STRING_LITERAL      CSE                                              
TILDE               ~                                                
SEPARATOR           ,                                                
NUM_LITERAL         20                                               
SEPARATOR           ,                                                
KEYWORD             yay                                              
PARENTHESIS         ]                                                
SEPARATOR           ;                                                
KEYWORD             num                                              
IDENTIFIER          len                                              
ASSIGNMENT_OPERATOR =                                                
KEYWORD             length                                           
PARENTHESIS         (                                                
IDENTIFIER          data                                             
PARENTHESIS         )                                                
SEPARATOR           ;                                                
KEYWORD             str                                              
IDENTIFIER          first                                            
ASSIGNMENT_OPERATOR =                                                
IDENTIFIER          data                                             
PARENTHESIS         [                                                
NUM_LITERAL         0                                                
PARENTHESIS         ]                                                
SEPARATOR           ;                                                
KEYWORD             tup                                              
IDENTIFIER          tupOne                                           
ASSIGNMENT_OPERATOR =                                                
PARENTHESIS         [                                                
NUM_LITERAL         1                                                
SEPARATOR           ,                                                
NUM_LITERAL         2                                                
SEPARATOR           ,                                                
NUM_LITERAL         3                                                
PARENTHESIS         ]                                                
SEPARATOR           ;                                                
KEYWORD             tup                                              
IDENTIFIER          tupTwo                                           
ASSIGNMENT_OPERATOR =                                                
PARENTHESIS         [                                                
TILDE               ~                                                
STRING_LITERAL      a                                                
TILDE               ~                                                
SEPARATOR           ,                                                
TILDE               ~                                                
STRING_LITERAL      b                                                
TILDE               ~                                                
SEPARATOR           ,                                                
TILDE               ~                                                
STRING_LITERAL      c                                                
TILDE               ~                                                
PARENTHESIS         ]                                                
SEPARATOR           ;                                                
KEYWORD             tup                                              
IDENTIFIER          tupThree                                         
ASSIGNMENT_OPERATOR =                                                
IDENTIFIER          tupOne                                           
BINARY_OPERATOR     +                                                
IDENTIFIER          tupTwo                                           
SEPARATOR           ;                                                
KEYWORD             show                                             
PARENTHESIS         (                                                
IDENTIFIER          tupThree                                         
PARENTHESIS         )                                                
SEPARATOR           ;                                                
KEYWORD             yield                                            
NUM_LITERAL         0                                                
SEPARATOR           ;                                                
PARENTHESIS         }                                                
