
TokenName           TokenValue                                                         
-----------------------------------------------------------------------------------------
COMMENT             ## This is the test code for strings and exceptional handling      
KEYWORD             num                                                                
KEYWORD             main                                                               
PARENTHESIS         (                                                                  
PARENTHESIS         )                                                                  
PARENTHESIS         {                                                                  
KEYWORD             str                                                                
IDENTIFIER          name1                                                              
ASSIGNMENT_OPERATOR =                                                                  
TILDE               ~                                                                  
STRING_LITERAL      Adam1                                                              
TILDE               ~                                                                  
SEPARATOR           ;                                                                  
KEYWORD             str                                                                
IDENTIFIER          name2                                                              
ASSIGNMENT_OPERATOR =                                                                  
TILDE               ~                                                                  
STRING_LITERAL      Eve2                                                               
TILDE               ~                                                                  
SEPARATOR           ;                                                                  
KEYWORD             str                                                                
IDENTIFIER          name                                                               
ASSIGNMENT_OPERATOR =                                                                  
IDENTIFIER          name1                                                              
BINARY_OPERATOR     +                                                                  
IDENTIFIER          name2                                                              
SEPARATOR           ;                                                                  
KEYWORD             show                                                               
PARENTHESIS         (                                                                  
IDENTIFIER          name                                                               
PARENTHESIS         )                                                                  
SEPARATOR           ;                                                                  
KEYWORD             test                                                               
PARENTHESIS         {                                                                  
KEYWORD             given                                                              
PARENTHESIS         (                                                                  
KEYWORD             length                                                             
PARENTHESIS         (                                                                  
IDENTIFIER          name                                                               
PARENTHESIS         )                                                                  
COMPARISON_OPERATOR <=                                                                 
NUM_LITERAL         10                                                                 
PARENTHESIS         )                                                                  
PARENTHESIS         {                                                                  
KEYWORD             str                                                                
IDENTIFIER          sub_name                                                           
ASSIGNMENT_OPERATOR =                                                                  
IDENTIFIER          name                                                               
PARENTHESIS         [                                                                  
NUM_LITERAL         2                                                                  
SEPARATOR           :                                                                  
NUM_LITERAL         6                                                                  
PARENTHESIS         ]                                                                  
SEPARATOR           ;                                                                  
KEYWORD             show                                                               
PARENTHESIS         (                                                                  
IDENTIFIER          sub_name                                                           
PARENTHESIS         )                                                                  
SEPARATOR           ;                                                                  
PARENTHESIS         }                                                                  
KEYWORD             otherwise                                                          
PARENTHESIS         {                                                                  
KEYWORD             pop                                                                
PARENTHESIS         (                                                                  
TILDE               ~                                                                  
STRING_LITERAL      IndexError                                                         
TILDE               ~                                                                  
PARENTHESIS         )                                                                  
SEPARATOR           ;                                                                  
PARENTHESIS         }                                                                  
PARENTHESIS         }                                                                  
KEYWORD             arrest                                                             
PARENTHESIS         (                                                                  
TILDE               ~                                                                  
STRING_LITERAL      IndexError                                                         
TILDE               ~                                                                  
PARENTHESIS         )                                                                  
PARENTHESIS         {                                                                  
KEYWORD             show                                                               
PARENTHESIS         (                                                                  
TILDE               ~                                                                  
STRING_LITERAL      Index Error: The range of index is out of the length of the string!
TILDE               ~                                                                  
PARENTHESIS         )                                                                  
SEPARATOR           ;                                                                  
PARENTHESIS         }                                                                  
PARENTHESIS         }                                                                  
