 ,'APPEND','ARREST','ASSIGNMENT_OPERATOR','BINARY_LOGICAL_OPERATOR','BINARY_OPERATOR','CLOSE_BRACES','CLOSE_BRACKET','CLOSE_PARENTHESIS','COMPARISON_OPERATOR','DEFINE','ELEMENT_SEPERATOR','END_OF_LINE','ENTER','EQUAL_TO','FIX','FLAG','GIVEN','HEAD','IDENTIFIER','IN','ISEMPTY','ITER','LENGTH','LET','LIST','MAIN','NAY','NUM','NUM_LITERAL','OPEN_BRACES','OPEN_BRACKET','OPEN_PARENTHESIS','OTHER','OTHERWISE','POP','REPEAT','SHOW','SKIP','SLICING_COLON','STOP','STR','STRING_LITERAL','TAIL','TEST','TILDE','TUP','UNARY_LOGICAL_OPERATOR','UNARY_OPERATOR','VOID','WHILE','YAY','YIELD',ELEMENT_SEPARATOR,$end,APPEND,ARREST,ASSIGNMENT_OPERATOR,BINARY_LOGICAL_OPERATOR,BINARY_OPERATOR,CLOSE_BRACES,CLOSE_BRACKET,CLOSE_PARENTHESIS,COMPARISON_OPERATOR,DEFINE,ELEMENT_SEPERATOR,END_OF_LINE,ENTER,EQUAL_TO,FIX,FLAG,GIVEN,HEAD,IDENTIFIER,IN,ISEMPTY,ITER,LENGTH,LET,LIST,MAIN,NAY,NUM,NUM_LITERAL,OPEN_BRACES,OPEN_BRACKET,OPEN_PARENTHESIS,OTHER,OTHERWISE,POP,REPEAT,SHOW,SKIP,SLICING_COLON,STOP,STR,STRING_LITERAL,TAIL,TEST,TILDE,TUP,UNARY_LOGICAL_OPERATOR,UNARY_OPERATOR,VOID,WHILE,YAY,YIELD,argument_list,array,assignment_operators,assignment_statement,basic_data_type,binary_operators,block,choose_array,compound_array,compound_data_type,compound_var,conditional_argument,conditional_block,conditional_statement,data_type,epsilon,equal_to,expression,expressions,fix_let,func_def,function_block,function_call,function_type,let_in,let_in_braces,let_in_statement,list_append_tail,loop_statement,num_str_flag,other_block,otherwise_block,parameter,parameter_list,parameters,pop_statement,post_equal_to,program,return_value,show_statement,skip_stop,special_function,start,statement,statements,string,term,terms,try_catch_statement,unary_operators,value_change_array,variable_declaration,yield_block
0,,,,,,,,,,s5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,4,,,,,,,,,,
1,,,,,,,,,,,,,,,,s11,,,,,,,,,,,,s12,,,,,,,,,,,,,s13,,,,,,,,s14,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,7,,,,,,,,,,,,,8,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,s5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,r10,,,,,,,,,,,,r10,,,,,,,,,,,,,r10,,,,,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,r94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,r92,,,,,,,s17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,r93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,r95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,s19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,r28,,,,,,,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
