TokenName           TokenValue                                                                          
----------------------------------------------------------------------------------------------------------
COMMENT             ##This is the test code for loops, conditionals statements, enter, & ##void keywords
KEYWORD             num                                                                                 
KEYWORD             main                                                                                
PARENTHESIS         (                                                                                   
PARENTHESIS         )                                                                                   
PARENTHESIS         {                                                                                   
KEYWORD             num                                                                                 
IDENTIFIER          y                                                                                   
ASSIGNMENT_OPERATOR =                                                                                   
NUM_LITERAL         2                                                                                   
SEPARATOR           ;                                                                                   
KEYWORD             while                                                                               
PARENTHESIS         (                                                                                   
IDENTIFIER          y                                                                                   
COMPARISON_OPERATOR >=                                                                                  
NUM_LITERAL         8                                                                                   
PARENTHESIS         )                                                                                   
PARENTHESIS         {                                                                                   
KEYWORD             num                                                                                 
IDENTIFIER          z                                                                                   
ASSIGNMENT_OPERATOR =                                                                                   
NUM_LITERAL         14098                                                                               
SEPARATOR           ;                                                                                   
IDENTIFIER          z                                                                                   
ASSIGNMENT_OPERATOR /=                                                                                  
NUM_LITERAL         56                                                                                  
BINARY_OPERATOR     /                                                                                   
NUM_LITERAL         4                                                                                   
SEPARATOR           ;                                                                                   
KEYWORD             given                                                                               
PARENTHESIS         (                                                                                   
IDENTIFIER          y                                                                                   
COMPARISON_OPERATOR >                                                                                   
NUM_LITERAL         36                                                                                  
PARENTHESIS         )                                                                                   
PARENTHESIS         {                                                                                   
KEYWORD             skip                                                                                
SEPARATOR           ;                                                                                   
PARENTHESIS         }                                                                                   
KEYWORD             other                                                                               
PARENTHESIS         (                                                                                   
IDENTIFIER          y                                                                                   
COMPARISON_OPERATOR ==                                                                                  
NUM_LITERAL         36                                                                                  
PARENTHESIS         )                                                                                   
PARENTHESIS         {                                                                                   
KEYWORD             num                                                                                 
IDENTIFIER          z                                                                                   
ASSIGNMENT_OPERATOR =                                                                                   
KEYWORD             num                                                                                 
PARENTHESIS         (                                                                                   
KEYWORD             enter                                                                               
PARENTHESIS         (                                                                                   
TILDE               ~                                                                                   
STRING_LITERAL      Enter any number                                                                    
TILDE               ~                                                                                   
PARENTHESIS         )                                                                                   
PARENTHESIS         )                                                                                   
SEPARATOR           ;                                                                                   
PARENTHESIS         }                                                                                   
KEYWORD             otherwise                                                                           
PARENTHESIS         {                                                                                   
IDENTIFIER          z                                                                                   
ASSIGNMENT_OPERATOR -=                                                                                  
NUM_LITERAL         2                                                                                   
SEPARATOR           ;                                                                                   
PARENTHESIS         }                                                                                   
IDENTIFIER          y                                                                                   
ASSIGNMENT_OPERATOR *=                                                                                  
NUM_LITERAL         4                                                                                   
SEPARATOR           ;                                                                                   
PARENTHESIS         }                                                                                   
KEYWORD             iter                                                                                
PARENTHESIS         (                                                                                   
KEYWORD             num                                                                                 
IDENTIFIER          i                                                                                   
ASSIGNMENT_OPERATOR =                                                                                   
NUM_LITERAL         0                                                                                   
SEPARATOR           ;                                                                                   
IDENTIFIER          i                                                                                   
COMPARISON_OPERATOR <                                                                                   
NUM_LITERAL         10                                                                                  
SEPARATOR           ;                                                                                   
IDENTIFIER          i                                                                                   
UNARY_OPERATOR      ++                                                                                  
PARENTHESIS         )                                                                                   
PARENTHESIS         {                                                                                   
KEYWORD             given                                                                               
PARENTHESIS         (                                                                                   
IDENTIFIER          i                                                                                   
BINARY_OPERATOR     %                                                                                   
NUM_LITERAL         2                                                                                   
COMPARISON_OPERATOR ==                                                                                  
NUM_LITERAL         0                                                                                   
PARENTHESIS         )                                                                                   
PARENTHESIS         {                                                                                   
KEYWORD             show                                                                                
PARENTHESIS         (                                                                                   
IDENTIFIER          i                                                                                   
PARENTHESIS         )                                                                                   
SEPARATOR           ;                                                                                   
KEYWORD             num                                                                                 
IDENTIFIER          j                                                                                   
ASSIGNMENT_OPERATOR =                                                                                   
IDENTIFIER          i                                                                                   
BINARY_OPERATOR     +                                                                                   
NUM_LITERAL         5                                                                                   
SEPARATOR           ;                                                                                   
KEYWORD             given                                                                               
PARENTHESIS         (                                                                                   
IDENTIFIER          j                                                                                   
COMPARISON_OPERATOR !=                                                                                  
NUM_LITERAL         0                                                                                   
PARENTHESIS         )                                                                                   
PARENTHESIS         {                                                                                   
KEYWORD             skip                                                                                
SEPARATOR           ;                                                                                   
PARENTHESIS         }                                                                                   
PARENTHESIS         }                                                                                   
KEYWORD             otherwise                                                                           
PARENTHESIS         {                                                                                   
KEYWORD             show                                                                                
PARENTHESIS         (                                                                                   
IDENTIFIER          j                                                                                   
UNARY_OPERATOR      ++                                                                                  
PARENTHESIS         )                                                                                   
SEPARATOR           ;                                                                                   
KEYWORD             given                                                                               
PARENTHESIS         (                                                                                   
IDENTIFIER          i                                                                                   
COMPARISON_OPERATOR ==                                                                                  
NUM_LITERAL         3                                                                                   
PARENTHESIS         )                                                                                   
PARENTHESIS         {                                                                                   
KEYWORD             stop                                                                                
SEPARATOR           ;                                                                                   
PARENTHESIS         }                                                                                   
PARENTHESIS         }                                                                                   
IDENTIFIER          j                                                                                   
ASSIGNMENT_OPERATOR *=                                                                                  
NUM_LITERAL         5                                                                                   
SEPARATOR           ;                                                                                   
PARENTHESIS         }                                                                                   
KEYWORD             void                                                                                
IDENTIFIER          testing                                                                             
PARENTHESIS         (                                                                                   
PARENTHESIS         )                                                                                   
PARENTHESIS         {                                                                                   
KEYWORD             show                                                                                
PARENTHESIS         (                                                                                   
TILDE               ~                                                                                   
STRING_LITERAL      This is a testcase!                                                                 
TILDE               ~                                                                                   
PARENTHESIS         )                                                                                   
SEPARATOR           ;                                                                                   
KEYWORD             yield                                                                               
SEPARATOR           ;                                                                                   
