TokenName           TokenValue                                                                 
-------------------------------------------------------------------------------------------------
KEYWORD             num                                                                        
KEYWORD             main                                                                       
PARENTHESIS         (                                                                          
PARENTHESIS         )                                                                          
PARENTHESIS         {                                                                          
COMMENT             ## defining integral values:                                               
KEYWORD             num                                                                        
IDENTIFIER          numOne                                                                     
ASSIGNMENT_OPERATOR =                                                                          
NUM_LITERAL         4                                                                          
SEPARATOR           ;                                                                          
KEYWORD             num                                                                        
IDENTIFIER          numTwo                                                                     
ASSIGNMENT_OPERATOR =                                                                          
NUM_LITERAL         3                                                                          
SEPARATOR           ;                                                                          
KEYWORD             num                                                                        
IDENTIFIER          numThree                                                                   
ASSIGNMENT_OPERATOR =                                                                          
NUM_LITERAL         23                                                                         
SEPARATOR           ;                                                                          
KEYWORD             num                                                                        
IDENTIFIER          numFour                                                                    
ASSIGNMENT_OPERATOR =                                                                          
NUM_LITERAL         16                                                                         
SEPARATOR           ;                                                                          
KEYWORD             num                                                                        
IDENTIFIER          numFive                                                                    
ASSIGNMENT_OPERATOR =                                                                          
NUM_LITERAL         28                                                                         
SEPARATOR           ;                                                                          
KEYWORD             num                                                                        
IDENTIFIER          numSix                                                                     
SEPARATOR           ;                                                                          
KEYWORD             num                                                                        
IDENTIFIER          numSeven                                                                   
SEPARATOR           ;                                                                          
KEYWORD             fix                                                                        
KEYWORD             num                                                                        
IDENTIFIER          numEight                                                                   
ASSIGNMENT_OPERATOR =                                                                          
NUM_LITERAL         42                                                                         
SEPARATOR           ;                                                                          
KEYWORD             fix                                                                        
KEYWORD             num                                                                        
IDENTIFIER          numNine                                                                    
ASSIGNMENT_OPERATOR =                                                                          
NUM_LITERAL         18                                                                         
SEPARATOR           ;                                                                          
KEYWORD             fix                                                                        
KEYWORD             num                                                                        
IDENTIFIER          numTen                                                                     
ASSIGNMENT_OPERATOR =                                                                          
NUM_LITERAL         31                                                                         
SEPARATOR           ;                                                                          
KEYWORD             num                                                                        
IDENTIFIER          numEleven                                                                  
SEPARATOR           ;                                                                          
KEYWORD             num                                                                        
IDENTIFIER          numTwelve                                                                  
SEPARATOR           ;                                                                          
COMMENT             ## defining boolean values:                                                
KEYWORD             flag                                                                       
IDENTIFIER          boolOne                                                                    
ASSIGNMENT_OPERATOR =                                                                          
KEYWORD             yay                                                                        
SEPARATOR           ;                                                                          
KEYWORD             flag                                                                       
IDENTIFIER          boolTwo                                                                    
ASSIGNMENT_OPERATOR =                                                                          
KEYWORD             nay                                                                        
SEPARATOR           ;                                                                          
KEYWORD             flag                                                                       
IDENTIFIER          boolThree                                                                  
ASSIGNMENT_OPERATOR =                                                                          
KEYWORD             nay                                                                        
SEPARATOR           ;                                                                          
KEYWORD             flag                                                                       
IDENTIFIER          boolFour                                                                   
ASSIGNMENT_OPERATOR =                                                                          
KEYWORD             yay                                                                        
SEPARATOR           ;                                                                          
KEYWORD             flag                                                                       
IDENTIFIER          boolFive                                                                   
ASSIGNMENT_OPERATOR =                                                                          
KEYWORD             nay                                                                        
SEPARATOR           ;                                                                          
KEYWORD             flag                                                                       
IDENTIFIER          boolSix                                                                    
SEPARATOR           ;                                                                          
KEYWORD             flag                                                                       
IDENTIFIER          boolSeven                                                                  
SEPARATOR           ;                                                                          
KEYWORD             fix                                                                        
KEYWORD             flag                                                                       
IDENTIFIER          boolEight                                                                  
ASSIGNMENT_OPERATOR =                                                                          
KEYWORD             nay                                                                        
SEPARATOR           ;                                                                          
KEYWORD             fix                                                                        
KEYWORD             flag                                                                       
IDENTIFIER          boolNine                                                                   
ASSIGNMENT_OPERATOR =                                                                          
KEYWORD             yay                                                                        
SEPARATOR           ;                                                                          
KEYWORD             fix                                                                        
KEYWORD             flag                                                                       
IDENTIFIER          boolTen                                                                    
ASSIGNMENT_OPERATOR =                                                                          
KEYWORD             nay                                                                        
SEPARATOR           ;                                                                          
COMMENT             ## usage of 'let' keyboard:                                                
KEYWORD             let                                                                        
IDENTIFIER          numOne                                                                     
ASSIGNMENT_OPERATOR =                                                                          
NUM_LITERAL         4                                                                          
KEYWORD             in                                                                         
IDENTIFIER          numSix                                                                     
ASSIGNMENT_OPERATOR =                                                                          
IDENTIFIER          numOne                                                                     
BINARY_OPERATOR     **                                                                         
NUM_LITERAL         2                                                                          
SEPARATOR           ;                                                                          
COMMENT             ## Testing various comparison operators:                                   
KEYWORD             given                                                                      
PARENTHESIS         (                                                                          
IDENTIFIER          numOne                                                                     
COMPARISON_OPERATOR ==                                                                         
IDENTIFIER          numTwo                                                                     
PARENTHESIS         )                                                                          
PARENTHESIS         {                                                                          
KEYWORD             show                                                                       
PARENTHESIS         (                                                                          
TILDE               ~                                                                          
STRING_LITERAL      equalto_operator                                                           
TILDE               ~                                                                          
PARENTHESIS         )                                                                          
SEPARATOR           ;                                                                          
PARENTHESIS         }                                                                          
KEYWORD             other                                                                      
PARENTHESIS         (                                                                          
IDENTIFIER          numOne                                                                     
COMPARISON_OPERATOR !=                                                                         
IDENTIFIER          numThree                                                                   
PARENTHESIS         )                                                                          
PARENTHESIS         {                                                                          
KEYWORD             show                                                                       
PARENTHESIS         (                                                                          
TILDE               ~                                                                          
STRING_LITERAL      notequalto_operator                                                        
TILDE               ~                                                                          
PARENTHESIS         )                                                                          
SEPARATOR           ;                                                                          
PARENTHESIS         }                                                                          
KEYWORD             other                                                                      
PARENTHESIS         (                                                                          
IDENTIFIER          numOne                                                                     
COMPARISON_OPERATOR >=                                                                         
IDENTIFIER          numFour                                                                    
PARENTHESIS         )                                                                          
PARENTHESIS         {                                                                          
KEYWORD             show                                                                       
PARENTHESIS         (                                                                          
TILDE               ~                                                                          
STRING_LITERAL      greaterequalto_operator                                                    
TILDE               ~                                                                          
PARENTHESIS         )                                                                          
SEPARATOR           ;                                                                          
PARENTHESIS         }                                                                          
KEYWORD             other                                                                      
PARENTHESIS         (                                                                          
IDENTIFIER          numOne                                                                     
COMPARISON_OPERATOR <=                                                                         
IDENTIFIER          numEight                                                                   
PARENTHESIS         )                                                                          
PARENTHESIS         {                                                                          
KEYWORD             show                                                                       
PARENTHESIS         (                                                                          
TILDE               ~                                                                          
STRING_LITERAL      lessequalto_operator                                                       
TILDE               ~                                                                          
PARENTHESIS         )                                                                          
SEPARATOR           ;                                                                          
PARENTHESIS         }                                                                          
KEYWORD             other                                                                      
PARENTHESIS         (                                                                          
IDENTIFIER          numOne                                                                     
COMPARISON_OPERATOR >                                                                          
IDENTIFIER          numNine                                                                    
PARENTHESIS         )                                                                          
PARENTHESIS         {                                                                          
KEYWORD             show                                                                       
PARENTHESIS         (                                                                          
TILDE               ~                                                                          
STRING_LITERAL      greaterthan_operator                                                       
TILDE               ~                                                                          
PARENTHESIS         )                                                                          
SEPARATOR           ;                                                                          
PARENTHESIS         }                                                                          
KEYWORD             other                                                                      
PARENTHESIS         (                                                                          
IDENTIFIER          numOne                                                                     
COMPARISON_OPERATOR <                                                                          
IDENTIFIER          numTen                                                                     
PARENTHESIS         )                                                                          
PARENTHESIS         {                                                                          
KEYWORD             show                                                                       
PARENTHESIS         (                                                                          
TILDE               ~                                                                          
STRING_LITERAL      lessthan_operator                                                          
TILDE               ~                                                                          
PARENTHESIS         )                                                                          
SEPARATOR           ;                                                                          
PARENTHESIS         }                                                                          
COMMENT             ## Testing various assignment and unary operators below:                   
IDENTIFIER          numTwo                                                                     
ASSIGNMENT_OPERATOR +=                                                                         
IDENTIFIER          numOne                                                                     
SEPARATOR           ;                                                                          
IDENTIFIER          numThree                                                                   
ASSIGNMENT_OPERATOR -=                                                                         
IDENTIFIER          numOne                                                                     
SEPARATOR           ;                                                                          
IDENTIFIER          numFour                                                                    
ASSIGNMENT_OPERATOR /=                                                                         
IDENTIFIER          numOne                                                                     
SEPARATOR           ;                                                                          
COMMENT             ##only integral division is allowed. No Floats are defined in our language.
IDENTIFIER          numFive                                                                    
ASSIGNMENT_OPERATOR *=                                                                         
UNARY_OPERATOR      --                                                                         
IDENTIFIER          numOne                                                                     
SEPARATOR           ;                                                                          
COMMENT             ##unary "--" operator                                                      
IDENTIFIER          numSix                                                                     
ASSIGNMENT_OPERATOR =                                                                          
UNARY_OPERATOR      ++                                                                         
IDENTIFIER          numFive                                                                    
SEPARATOR           ;                                                                          
COMMENT             ##unary "++" operator                                                      
IDENTIFIER          numSeven                                                                   
ASSIGNMENT_OPERATOR %=                                                                         
IDENTIFIER          numOne                                                                     
SEPARATOR           ;                                                                          
COMMENT             ## Testing various Logical and Bitwise operators:                          
COMMENT             ## Bitwise:                                                                
IDENTIFIER          numSeven                                                                   
ASSIGNMENT_OPERATOR =                                                                          
IDENTIFIER          numOne                                                                     
LOGICAL_OPERATOR    &                                                                          
IDENTIFIER          numTwo                                                                     
SEPARATOR           ;                                                                          
IDENTIFIER          numEleven                                                                  
ASSIGNMENT_OPERATOR =                                                                          
IDENTIFIER          numOne                                                                     
LOGICAL_OPERATOR    |                                                                          
IDENTIFIER          numTwo                                                                     
SEPARATOR           ;                                                                          
IDENTIFIER          numTwelve                                                                  
ASSIGNMENT_OPERATOR =                                                                          
LOGICAL_OPERATOR    !                                                                          
IDENTIFIER          numOne                                                                     
SEPARATOR           ;                                                                          
IDENTIFIER          numFive                                                                    
ASSIGNMENT_OPERATOR =                                                                          
IDENTIFIER          numEleven                                                                  
LOGICAL_OPERATOR    ^                                                                          
IDENTIFIER          numTwelve                                                                  
SEPARATOR           ;                                                                          
COMMENT             ##Logical:                                                                 
IDENTIFIER          boolFive                                                                   
ASSIGNMENT_OPERATOR =                                                                          
IDENTIFIER          boolOne                                                                    
LOGICAL_OPERATOR    &&                                                                         
