TokenName           TokenValue                                                                                               
-------------------------------------------------------------------------------------------------------------------------------
KEYWORD             define                                                                                                   
KEYWORD             num                                                                                                      
IDENTIFIER          add                                                                                                      
PARENTHESIS         (                                                                                                        
KEYWORD             num                                                                                                      
IDENTIFIER          x                                                                                                        
SEPARATOR           ,                                                                                                        
KEYWORD             num                                                                                                      
IDENTIFIER          y                                                                                                        
PARENTHESIS         )                                                                                                        
PARENTHESIS         {                                                                                                        
KEYWORD             yield                                                                                                    
IDENTIFIER          x                                                                                                        
BINARY_OPERATOR     +                                                                                                        
IDENTIFIER          y                                                                                                        
SEPARATOR           ;                                                                                                        
PARENTHESIS         }                                                                                                        
KEYWORD             define                                                                                                   
KEYWORD             num                                                                                                      
IDENTIFIER          subtract                                                                                                 
PARENTHESIS         (                                                                                                        
KEYWORD             num                                                                                                      
IDENTIFIER          x                                                                                                        
SEPARATOR           ,                                                                                                        
KEYWORD             num                                                                                                      
IDENTIFIER          y                                                                                                        
PARENTHESIS         )                                                                                                        
PARENTHESIS         {                                                                                                        
KEYWORD             yield                                                                                                    
IDENTIFIER          x                                                                                                        
BINARY_OPERATOR     -                                                                                                        
IDENTIFIER          y                                                                                                        
SEPARATOR           ;                                                                                                        
PARENTHESIS         }                                                                                                        
KEYWORD             define                                                                                                   
KEYWORD             num                                                                                                      
IDENTIFIER          multiply                                                                                                 
PARENTHESIS         (                                                                                                        
KEYWORD             num                                                                                                      
IDENTIFIER          x                                                                                                        
SEPARATOR           ,                                                                                                        
KEYWORD             num                                                                                                      
IDENTIFIER          y                                                                                                        
PARENTHESIS         )                                                                                                        
PARENTHESIS         {                                                                                                        
KEYWORD             yield                                                                                                    
IDENTIFIER          x                                                                                                        
BINARY_OPERATOR     *                                                                                                        
IDENTIFIER          y                                                                                                        
SEPARATOR           ;                                                                                                        
PARENTHESIS         }                                                                                                        
KEYWORD             define                                                                                                   
KEYWORD             num                                                                                                      
IDENTIFIER          divide                                                                                                   
PARENTHESIS         (                                                                                                        
KEYWORD             num                                                                                                      
IDENTIFIER          x                                                                                                        
SEPARATOR           ,                                                                                                        
KEYWORD             num                                                                                                      
IDENTIFIER          y                                                                                                        
PARENTHESIS         )                                                                                                        
PARENTHESIS         {                                                                                                        
KEYWORD             test                                                                                                     
PARENTHESIS         {                                                                                                        
KEYWORD             given                                                                                                    
PARENTHESIS         (                                                                                                        
IDENTIFIER          y                                                                                                        
COMPARISON_OPERATOR !=                                                                                                       
NUM_LITERAL         0                                                                                                        
PARENTHESIS         )                                                                                                        
PARENTHESIS         {                                                                                                        
KEYWORD             yield                                                                                                    
IDENTIFIER          x                                                                                                        
BINARY_OPERATOR     /                                                                                                        
IDENTIFIER          y                                                                                                        
SEPARATOR           ;                                                                                                        
PARENTHESIS         }                                                                                                        
KEYWORD             otherwise                                                                                                
PARENTHESIS         {                                                                                                        
KEYWORD             pop                                                                                                      
PARENTHESIS         (                                                                                                        
TILDE               ~                                                                                                        
STRING_LITERAL      Zeroerror                                                                                                
TILDE               ~                                                                                                        
PARENTHESIS         )                                                                                                        
SEPARATOR           ;                                                                                                        
PARENTHESIS         }                                                                                                        
PARENTHESIS         }                                                                                                        
KEYWORD             arrest                                                                                                   
PARENTHESIS         (                                                                                                        
TILDE               ~                                                                                                        
STRING_LITERAL      Zeroerror                                                                                                
TILDE               ~                                                                                                        
PARENTHESIS         )                                                                                                        
PARENTHESIS         {                                                                                                        
KEYWORD             show                                                                                                     
PARENTHESIS         (                                                                                                        
TILDE               ~                                                                                                        
STRING_LITERAL      Divison by zero is not possible!                                                                         
TILDE               ~                                                                                                        
PARENTHESIS         )                                                                                                        
SEPARATOR           ;                                                                                                        
PARENTHESIS         }                                                                                                        
PARENTHESIS         }                                                                                                        
KEYWORD             num                                                                                                      
KEYWORD             main                                                                                                     
PARENTHESIS         (                                                                                                        
PARENTHESIS         )                                                                                                        
PARENTHESIS         {                                                                                                        
KEYWORD             show                                                                                                     
PARENTHESIS         (                                                                                                        
TILDE               ~                                                                                                        
STRING_LITERAL      Calculator program                                                                                       
TILDE               ~                                                                                                        
PARENTHESIS         )                                                                                                        
SEPARATOR           ;                                                                                                        
KEYWORD             num                                                                                                      
IDENTIFIER          firstNum                                                                                                 
ASSIGNMENT_OPERATOR =                                                                                                        
